UnitNumber,Name,Model,PV,Type,Size,Move,Role,Skill,Short,ShortMin,Medium,MediumMin,Long,LongMin,Extreme,ExtremeMin,Overheat,Armor,Structure,Threshold,Specials,Image
12,Aerial Beast Infantry, ,9,CI,1,"10""v",,,0,false,0,false,0,false,0,false,0,1,1,0,CAR7,https://i.ibb.co/5RLLtRk/aerial-beast-infantry-fwlm.png
13,Aeron Strike VTOL,(BAP),27,CV,1,"24""v",,,1,false,1,false,1,false,0,false,0,2,2,0,"ATMO,CT0.5,ECM,ENE,PRB,RCN,SRCH",https://i.ibb.co/KX1bc6x/aeron-3085.png
14,Aeron Strike VTOL,,24,CV,1,"24""v",,,1,false,1,false,1,false,0,false,0,2,2,0,"ATMO,ECM,ENE,SRCH",https://i.ibb.co/KX1bc6x/aeron-3085.png
15,Aeshna Heavy Drone Fighter,,54,AF,3,5a,,,7,false,6,false,3,false,0,false,0,9,5,3,"BOMB3,DRO,FUEL24,RBT,SPC,VSTOL",https://i.ibb.co/ZVbmBT4/aeshena-jhst.png
16,Afreet Medium Battle Armor,(Interdictor) (Sqd4),15,BA,1,"8""j",,,2,false,0,false,0,false,0,false,0,1,2,0,"AM,CAR4,FR,LECM,MEC",https://i.ibb.co/MB2Sfzq/afreet-3075.png
17,Ahab,AHB-443,44,AF,3,5a,,,3,false,3,false,3,false,0,false,2,8,5,3,"BOMB3,FUEL20,REAR1/1/-/-,SNARC,SPC,VSTOL",https://i.ibb.co/QDstYPS/ahab-3050u.png
18,Ahab,AHB-643,52,AF,3,5a,,,6,false,7,false,2,false,0,false,0,8,5,3,"BOMB3,FUEL20,SPC,VSTOL",https://i.ibb.co/QDstYPS/ahab-3050u.png
19,Ahab,AHB-MD,51,AF,3,5a,,,7,false,7,false,0,false,0,false,0,8,5,3,"BOMB3,FUEL20,SPC,VSTOL",https://i.ibb.co/QDstYPS/ahab-3050u.png
20,Ahab,AHB-X,46,AF,3,5a,,,3,false,4,false,3,false,0,false,3,8,5,3,"BOMB3,FUEL20,SPC,VSTOL",https://i.ibb.co/QDstYPS/ahab-3050u.png
21,Ajax Assault Tank,(Sealed),47,CV,4,"6""t",,,4,false,3,false,2,false,0,false,0,10,5,0,"C3S,CASE,ECM,IF1,MHQ1,SEAL,SRCH,TOR1/1/-,TUR(4/3/2,IF1,TOR1/1/-)",https://i.ibb.co/JpG0qtW/ajax-3067.png
22,Akuma,AKU-2XC,54,BM,4,"6""",,,5,false,5,false,1,false,0,false,0,9,7,0,"AECM,C3BSS,CASE,FLK1/1/1,MHQ2",https://i.ibb.co/HttccQ6/akuma-3067.png
23,Alacorn Heavy Tank,Mk. III,35,CV,4,"6""t",,,3,false,3,false,0,false,0,false,0,10,5,0,"AC3/3/-,SRCH,TUR(3/3/-,AC3/3/-)",https://i.ibb.co/n1wCrB1/alacorn-3058u.png
24,Alacorn Heavy Tank,Mk. IV,38,CV,4,"6""t",,,6,false,6,false,0,false,0,false,0,7,5,0,"AC6/6/-,SRCH,TUR(6/6/-,AC6/6/-)",https://i.ibb.co/n1wCrB1/alacorn-3058u.png
25,Alacorn Heavy Tank,Mk. VI,39,CV,4,"6""t",,,4,false,5,false,5,false,0,false,0,7,5,0,"SRCH,TUR(4/5/5)",https://i.ibb.co/n1wCrB1/alacorn-3058u.png
26,Alacorn Heavy Tank,Mk. VII,39,CV,4,"6""t",,,4,false,4,false,2,false,0,false,0,10,4,0,SRCH,https://i.ibb.co/n1wCrB1/alacorn-3058u.png
27,Albatross,ALB-3U,41,BM,4,"8""",,,4,false,4,false,3,false,0,false,2,7,4,0,"CASE,FLK1/1/1,IF1",https://i.ibb.co/hgJtyYB/albatross-3055u.png
28,Albatross,ALB-3Ur,42,BM,4,"8""",,,5,false,5,false,3,false,0,false,0,7,4,0,"CASE,IF1",https://i.ibb.co/hgJtyYB/albatross-3055u.png
29,Albatross,ALB-4U,49,BM,4,"8""",,,5,false,5,false,2,false,0,false,1,10,4,0,"CASE,IF1",https://i.ibb.co/hgJtyYB/albatross-3055u.png
30,Albatross,ALB-5W (Dantalion),46,BM,4,"8""",,,3,false,3,false,1,false,0,false,2,10,5,0,"AMS,ECM,ENE,TSM",https://i.ibb.co/hgJtyYB/albatross-3055u.png
31,Angerona Scout Suit,(Recon) (Sqd4),17,BA,1,"6""f",,,1,false,0,false,0,false,0,false,0,1,2,0,"CAR4,LMAS,RCN,RSD1,STL",https://i.ibb.co/cJhSJ62/angerona-3085.png
32,Angerona Scout Suit,(Sqd4),16,BA,1,"6""f",,,1,false,1,false,0,false,0,false,0,1,2,0,"AM,CAR4,LMAS,MEC,STL",https://i.ibb.co/cJhSJ62/angerona-3085.png
33,Anhur,(P-Stealth),29,CV,1,"16""v",,,2,false,2,false,2,false,0,false,0,2,2,0,"ATMO,CASE,CT6,ECM,IF1,LRM1/1/1,SRCH,STL",https://i.ibb.co/cwh8RG0/anhur-3060.png
34,Anhur Transport,(BA),19,CV,1,"16""v",,,1,false,1,false,0,false,0,false,0,2,2,0,"ATMO,CASE,ECM,IT10,REAR1/1/-,SRCH",https://i.ibb.co/cwh8RG0/anhur-3060.png
35,Anhur Transport, ,22,CV,1,"16""v",,,2,false,2,false,0,false,0,false,0,2,2,0,"ATMO,ENE,IT7,REAR1/1/-,SRCH",https://i.ibb.co/cwh8RG0/anhur-3060.png
36,Annihilator,ANH-1E,45,BM,4,"4""",,,5,false,5,false,4,false,0,false,1,7,8,0,ENE,https://i.ibb.co/rfgsB66/annihilator-rg.png
37,Annihilator,ANH-1G,54,BM,4,"4""",,,5,false,6,false,6,false,0,false,0,10,8,0,,https://i.ibb.co/rfgsB66/annihilator-rg.png
38,Annihilator,ANH-1X,48,BM,4,"4""",,,5,false,4,false,3,false,0,false,1,10,8,0,"CASE,FLK2/2/3",https://i.ibb.co/rfgsB66/annihilator-rg.png
39,Annihilator,ANH-2A,41,BM,4,"4""",,,4,false,4,false,3,false,0,false,2,7,8,0,"CASE,FLK2/2/3",https://i.ibb.co/rfgsB66/annihilator-rg.png
40,Annihilator,ANH-2AX,52,BM,4,"4""",,,4,false,5,false,5,false,0,false,0,10,10,0,"ARM,CASE,RFA",https://i.ibb.co/MZ3XZf3/annihilator-xtr.png
41,Annihilator,ANH-3A,47,BM,4,"4""",,,4,false,4,false,2,false,0,false,0,10,10,0,"AC2/2/2,CASE",https://i.ibb.co/rfgsB66/annihilator-rg.png
42,Annihilator,ANH-4A,46,BM,4,"4""",,,4,false,5,false,5,false,0,false,0,8,8,0,FLK1/1/1,https://i.ibb.co/rfgsB66/annihilator-rg.png
43,Annihilator,C,57,BM,4,"6""",,,6,false,6,false,6,false,0,false,3,9,8,0,CASE,https://i.ibb.co/rfgsB66/annihilator-rg.png
44,Annihilator,"C ""Gausszilla""",56,BM,4,"4""",,,7,false,8,false,8,false,0,false,0,7,8,0,CASE,https://i.ibb.co/rfgsB66/annihilator-rg.png
45,Annihilator,C 2,60,BM,4,"4""",,,7,false,8,false,8,false,0,false,0,9,8,0,CASE,https://i.ibb.co/rfgsB66/annihilator-rg.png
46,Anti-Infantry Unit, ,13,CI,1,"4""m",,,1,false,0,false,0,false,0,false,0,4,1,0,"AM,CAR6,HT1/-/-",https://i.ibb.co/CPRz9pw/anti-infantry-unit-lcaf.png
48,Anvil,ANV-3M,35,BM,3,"10""/6""j",,,3,false,3,false,0,false,0,false,0,5,5,0,"ECM,ENE,JMPW1",https://i.ibb.co/7YwsZ52/anvil-3055u.png
49,Anvil,ANV-3R,40,BM,3,"10""",,,3,false,3,false,0,false,0,false,0,7,5,0,"ECM,ENE",https://i.ibb.co/7YwsZ52/anvil-3055u.png
50,Anvil,ANV-5M,38,BM,3,"10""j",,,3,false,3,false,2,false,0,false,1,5,5,0,"ECM,ENE",https://i.ibb.co/7YwsZ52/anvil-3055u.png
51,Anvil,ANV-5Q,33,BM,3,"10""/6""j",,,3,false,3,false,0,false,0,false,0,5,5,0,"ENE,JMPW1",https://i.ibb.co/7YwsZ52/anvil-3055u.png
52,Anvil,ANV-6M,36,BM,3,"10""/6""j",,,3,false,3,false,0,false,0,false,0,5,5,0,"ECM,ENE,JMPW1,TAG",https://i.ibb.co/7YwsZ52/anvil-3055u.png
53,Anvil,ANV-8M,44,BM,3,"10""",,,2,false,2,false,1,false,0,false,0,5,5,0,"ARTAIS-1,CASE,ECM",https://i.ibb.co/7YwsZ52/anvil-3055u.png
54,Apollo,APL-1M,34,BM,2,"8""",,,2,false,3,false,3,false,0,false,0,6,5,0,IF2,https://i.ibb.co/CHbPwZy/apollo-3055u.png
55,Apollo,APL-1R,31,BM,2,"8""",,,2,false,2,false,2,false,0,false,0,6,5,0,"IF2,LRM1/2/2",https://i.ibb.co/CHbPwZy/apollo-3055u.png
56,Apollo,APL-2S,37,BM,2,"8""",,,3,false,4,false,3,false,0,false,0,6,5,0,IF2,https://i.ibb.co/CHbPwZy/apollo-3055u.png
57,Apollo,APL-3T,36,BM,2,"8""",,,4,false,4,false,2,false,0,false,0,6,5,0,IF1,https://i.ibb.co/CHbPwZy/apollo-3055u.png
58,Aquagladius,AQS-3,20,BM,2,"12""/10""s",,,0,false,0,false,0,false,0,false,0,5,3,0,"BHJ,MEL,MTAS1,UMU",https://i.ibb.co/J2FBr8N/aquagladius-3055u.png
59,Aquagladius,AQS-4,30,BM,2,"12""/12""s",,,2,false,2,false,0,false,0,false,1,6,3,0,"BHJ,ENE,UMU",https://i.ibb.co/J2FBr8N/aquagladius-3055u.png
60,Arbalest,2,24,BM,1,"12""",,,2,false,2,false,1,false,0,false,0,3,2,0,"CASE,ECM,IF1",https://i.ibb.co/89B7WZX/arbalest-3085.png
61,Arbalest,3,30,BM,1,"10""",,,4,false,4,false,2,false,0,false,0,3,2,0,"CASE,IF1,LRM1/1/1",https://i.ibb.co/89B7WZX/arbalest-3085.png
62,Arbalest,,26,BM,1,"10""",,,3,false,3,false,2,false,0,false,0,2,2,0,"CASE,ECM,IF1,LRM1/1/1",https://i.ibb.co/89B7WZX/arbalest-3085.png
64,Archangel,C-ANG-O (Berith),54,BM,4,"6""",,,4,false,4,false,2,false,0,false,0,10,10,0,"C3I,ENE,MHQ2,OMNI",https://i.ibb.co/4jHPNMp/archangel-a-3075.png
65,Archangel,C-ANG-O Invictus,54,BM,4,"6""j",,,3,false,3,false,2,false,0,false,0,10,10,0,"C3I,ECM,ENE,MEL,MHQ2,OMNI,SAW",https://i.ibb.co/yspPH7B/archangel-invictus-3075.png
66,Archangel,C-ANG-OA Dominus,56,BM,4,"6""",,,4,false,4,false,3,false,0,false,1,10,10,0,"C3I,ENE,MHQ2,OMNI",https://i.ibb.co/4jHPNMp/archangel-a-3075.png
67,Archangel,C-ANG-OB Infernus,55,BM,4,"6""",,,4,false,4,false,3,false,0,false,0,10,10,0,"C3I,ENE,MHQ2,OMNI",https://i.ibb.co/2hJDJbT/archangel-b-3075.png
68,Archangel,C-ANG-OC Comminus,60,BM,4,"6""",,,6,false,6,false,0,false,0,false,0,10,10,0,"C3I,CASE,ECM,MHQ2,OMNI,REAR0*/0*/-",https://i.ibb.co/yspPH7B/archangel-invictus-3075.png
69,Archangel,C-ANG-OD Luminos,58,BM,4,"6""j",,,4,false,4,false,2,false,0,false,1,10,10,0,"C3I,ECM,ENE,MHQ2,OMNI",https://i.ibb.co/yspPH7B/archangel-invictus-3075.png
70,Archangel,C-ANG-OE Eminus,57,BM,4,"6""",,,4,false,4,false,4,false,0,false,1,10,10,0,"C3I,ENE,MHQ2,OMNI",https://i.ibb.co/yspPH7B/archangel-invictus-3075.png
71,Archangel,C-ANG-OS Caelestis,56,BM,4,"6""",,,4,false,4,false,1,false,0,false,2,10,10,0,"C3I,IF1,MHQ2,OMNI",https://i.ibb.co/yspPH7B/archangel-invictus-3075.png
72,Archer,(Wolf),51,BM,3,"8""",,,5,false,5,false,5,false,0,false,1,7,6,0,"AMS,CASE,ECM,IF2,OVL,REAR1/1/-",https://i.ibb.co/j5VhJJF/archer-rg.png
73,Archer,ARC-2K,34,BM,3,"8""",,,2,false,2,false,2,false,0,false,2,6,6,0,IF2,https://i.ibb.co/j5VhJJF/archer-rg.png
74,Archer,ARC-2R,39,BM,3,"8""",,,2,false,3,false,3,false,0,false,1,7,6,0,"IF2,LRM1/2/2,REAR1/1/-",https://i.ibb.co/j5VhJJF/archer-rg.png
75,Archer,ARC-2Rb,44,BM,3,"8""",,,3,false,5,false,4,false,0,false,0,7,6,0,"CASE,IF2,REAR1/1/-",https://i.ibb.co/j5VhJJF/archer-rg.png
76,Archer,ARC-2S,36,BM,3,"8""",,,2,false,2,false,2,false,0,false,2,7,6,0,"IF2,REAR1/1/-",https://i.ibb.co/j5VhJJF/archer-rg.png
77,Archer,ARC-2W,35,BM,3,"8""",,,2,false,3,false,3,false,0,false,2,5,6,0,"IF2,LRM1/1/2",https://i.ibb.co/j5VhJJF/archer-rg.png
78,Archer,ARC-4M,44,BM,3,"8""",,,3,false,5,false,4,false,0,false,0,7,6,0,"CASE,IF2,REAR1/1/-",https://i.ibb.co/j5VhJJF/archer-rg.png
79,Archer,ARC-5R,37,BM,3,"8""",,,3,false,3,false,3,false,0,false,1,6,6,0,"CASE,IF1,OVL",https://i.ibb.co/j5VhJJF/archer-rg.png
80,Archer,ARC-5S,38,BM,3,"8""",,,4,false,4,false,2,false,0,false,0,7,3,0,"CASE,IF2,LRM1/2/2,REAR1/1/-,SNARC",https://i.ibb.co/j5VhJJF/archer-rg.png
81,Archer,ARC-5W,38,BM,3,"8""",,,3,false,4,false,3,false,0,false,0,7,3,0,"CASE,IF2,LRM1/2/2,SNARC,SRM1/1",https://i.ibb.co/j5VhJJF/archer-rg.png
82,Archer,ARC-6S,43,BM,3,"8""",,,4,false,5,false,4,false,0,false,0,7,4,0,"CASE,IF2,REAR0*/0*/-",https://i.ibb.co/c30L1G9/archer-arc-6s-pp.png
83,Archer,ARC-6W,34,BM,3,"8""",,,3,false,3,false,0,false,0,false,0,7,6,0,"ENE,REAR0*/0*/0*",https://i.ibb.co/mCxZLqJ/archer-arc-6w-pp.png
84,Archer,ARC-7L,43,BM,3,"6""j",,,2,false,3,false,3,false,0,false,1,7,6,0,"CASE,ECM,IF2,LRM1/2/2,STL",https://i.ibb.co/rQ8ChbP/archer-arc-7l-pp.png
85,Archer,ARC-7S,42,BM,3,"8""",,,3,false,5,false,4,false,0,false,0,7,4,0,"CASE,IF2,REAR0*/-/-",https://i.ibb.co/c30L1G9/archer-arc-6s-pp.png
86,Archer,ARC-8M,43,BM,3,"8""",,,3,false,4,false,4,false,0,false,1,7,6,0,"CASE,IF2",https://i.ibb.co/fdp9vw7/archer-arc-8m-pp.png
87,Archer,ARC-9K,44,BM,3,"8""",,,4,false,4,false,3,false,0,false,0,7,6,0,"C3S,IF1,MHQ1",https://i.ibb.co/MfJmSf1/archer-3085.png
88,Archer,ARC-9M,42,BM,3,"6""/10""j",,,3,false,4,false,4,false,0,false,1,6,4,0,"CASE,IF2,JMPS1",https://i.ibb.co/MfJmSf1/archer-3085.png
89,Archer,ARC-9W,49,BM,3,"10""",,,2,false,3,false,3,false,0,false,1,6,3,0,"AECM,CASE,IF1,MAS,OVL",https://i.ibb.co/MfJmSf1/archer-3085.png
90,Archer,C,42,BM,3,"8""",,,4,false,4,false,3,false,0,false,0,7,6,0,"IF2,LRM2/2/2,REAR1/1/-",https://i.ibb.co/j5VhJJF/archer-rg.png
91,Arctic Fox,AF1,25,BM,1,"12""",,,3,false,3,false,1,false,0,false,1,3,1,0,"OMNI,SRM1/1",https://i.ibb.co/DrN7R8s/arctic-fox-3060.png
92,Arctic Fox,AF1A,24,BM,1,"12""j",,,4,false,3,false,0,false,0,false,0,3,1,0,"ENE,OMNI",https://i.ibb.co/DrN7R8s/arctic-fox-3060.png
93,Arctic Fox,AF1B,20,BM,1,"12""",,,2,false,2,false,1,false,0,false,0,3,1,0,"FLK1/1/1,OMNI",https://i.ibb.co/DrN7R8s/arctic-fox-3060.png
94,Arctic Fox,AF1C,20,BM,1,"12""",,,2,false,2,false,1,false,0,false,0,3,1,0,"ENE,OMNI",https://i.ibb.co/DrN7R8s/arctic-fox-3060.png
95,Arctic Fox,AF1D,21,BM,1,"12""",,,1,false,2,false,2,false,0,false,0,3,1,0,"IF1,OMNI",https://i.ibb.co/DrN7R8s/arctic-fox-3060.png
96,Arctic Fox,AF1E,24,BM,1,"12""",,,2,false,3,false,2,false,0,false,0,3,1,0,"ENE,OMNI",https://i.ibb.co/DrN7R8s/arctic-fox-3060.png
97,Arctic Fox,AF1F,25,BM,1,"12""",,,3,false,3,false,1,false,0,false,0,3,1,0,"IF1,OMNI",https://i.ibb.co/DrN7R8s/arctic-fox-3060.png
98,Arctic Fox,AF1U,15,BM,1,"12""/10""s",,,0,false,1,false,1,false,0,false,0,3,1,0,"OMNI,TOR0*/1/1,UMU",https://i.ibb.co/DrN7R8s/arctic-fox-3060.png
99,Arctic Wolf, ,39,BM,2,"14""",,,4,false,4,false,0,false,0,false,1,3,2,0,"CASE,SNARC,SRM4/4",https://i.ibb.co/PQ3NNcj/arctic-wolf-3060.png
100,Arctic Wolf,2,41,BM,2,"14""",,,4,false,4,false,2,false,0,false,1,3,2,0,"CASE,SNARC,SRM3/3",https://i.ibb.co/PQ3NNcj/arctic-wolf-3060.png
101,Arctic Wolf,A,41,BM,2,"12""",,,5,false,5,false,2,false,0,false,0,4,2,0,"CASE,ECM,IF2,LRM2/2/2,OMNI,SRM2/2",https://i.ibb.co/PQ3NNcj/arctic-wolf-3060.png
102,Arctic Wolf,J,39,BM,2,"12""/8""j",,,4,false,4,false,0,false,0,false,1,4,2,0,"CASE,ECM,HT1/1/1,JMPW1,OMNI,PRB,RCN",https://i.ibb.co/PQ3NNcj/arctic-wolf-3060.png
103,Arctic Wolf,Prime,35,BM,2,"12""j",,,5,false,5,false,0,false,0,false,0,4,2,0,"CASE,OMNI",https://i.ibb.co/PQ3NNcj/arctic-wolf-3060.png
104,Arctic Wolf II,A,46,BM,2,"14""j",,,4,false,4,false,0,false,0,false,0,4,2,0,"CASE,ECM,OMNI,PRB,RCN",https://i.ibb.co/tQmVNXx/arctic-wolf-ii-3085.png
105,Arctic Wolf II,B,43,BM,2,"14""j",,,4,false,4,false,2,false,0,false,0,4,2,0,"CASE,OMNI,SRM2/2",https://i.ibb.co/tQmVNXx/arctic-wolf-ii-3085.png
106,Arctic Wolf II,C,39,BM,2,"14""j",,,3,false,3,false,2,false,0,false,1,4,2,0,"CASE,OMNI",https://i.ibb.co/tQmVNXx/arctic-wolf-ii-3085.png
107,Arctic Wolf II,Prime,45,BM,2,"14""j",,,4,false,4,false,2,false,0,false,0,4,2,0,"CASE,IF2,LRM2/2/2,OMNI",https://i.ibb.co/tQmVNXx/arctic-wolf-ii-3085.png
108,Ares Medium Tank,(Plasma),23,CV,2,"10""t",,,2,false,2,false,2,false,0,false,0,3,2,0,"CASE,HT1/1/1,IF1,SRCH,TUR(HT1/1/1)",https://i.ibb.co/PxQngxL/ares-3060.png
109,Ares Medium Tank, ,26,CV,2,"10""t",,,3,false,3,false,3,false,0,false,0,3,2,0,"CASE,IF1,SRCH,TUR(1/1/1)",https://i.ibb.co/PxQngxL/ares-3060.png
110,Argus,AGS-8DX,41,BM,3,"10""",,,4,false,4,false,0,false,0,false,0,6,3,0,"C3BSS,CASE,IF0*,MHQ2",https://i.ibb.co/HFF5vm1/argus-3067.png
111,Armored Personnel Carrier,(Hover LRM),12,CV,1,"20""h",,,0,false,0,false,0,false,0,false,0,1,1,0,"EE,IF0*,SRCH",https://i.ibb.co/GQ71C7t/armored-personnel-carrier-hover-3039.png
112,Armored Personnel Carrier,(Hover MG),11,CV,1,"20""h",,,1,false,0,false,0,false,0,false,0,1,1,0,"EE,SRCH,TUR(1/-/-)",https://i.ibb.co/GQ71C7t/armored-personnel-carrier-hover-3039.png
113,Armored Personnel Carrier,(Hover Primitive),5,SV,2,"14""h",,,0,false,0,false,0,false,0,false,0,0,1,0,"BFC,EE,IT1,TUR(0*/-/-)",https://i.ibb.co/GQ71C7t/armored-personnel-carrier-hover-3039.png
114,Armored Personnel Carrier,(Hover SRM),11,CV,1,"20""h",,,0,false,0,false,0,false,0,false,0,1,1,0,"EE,IT1,SRCH",https://i.ibb.co/GQ71C7t/armored-personnel-carrier-hover-3039.png
115,Armored Personnel Carrier,(Hover),10,CV,1,"20""h",,,0,false,0,false,0,false,0,false,0,1,1,0,"EE,IT1,SRCH,TUR(0*/-/-)",https://i.ibb.co/GQ71C7t/armored-personnel-carrier-hover-3039.png
116,Armored Personnel Carrier,(Tracked LRM),8,CV,1,"12""t",,,0,false,0,false,0,false,0,false,0,1,1,0,"EE,IF0*,SRCH",https://i.ibb.co/sW2BqkV/armored-personnel-carrier-tracked-3039.png
117,Armored Personnel Carrier,(Tracked MG),6,CV,1,"12""t",,,1,false,0,false,0,false,0,false,0,1,1,0,"EE,SRCH,TUR(1/-/-)",https://i.ibb.co/sW2BqkV/armored-personnel-carrier-tracked-3039.png
118,Armored Personnel Carrier,(Tracked Primitive),3,SV,2,"6""t",,,0,false,0,false,0,false,0,false,0,1,1,0,"BFC,EE,IT1,TUR(0*/-/-)",https://i.ibb.co/sW2BqkV/armored-personnel-carrier-tracked-3039.png
119,Armored Personnel Carrier,(Tracked SRM),7,CV,1,"12""t",,,0,false,0,false,0,false,0,false,0,1,1,0,"EE,IT1,SRCH",https://i.ibb.co/sW2BqkV/armored-personnel-carrier-tracked-3039.png
120,Armored Personnel Carrier,(Tracked),6,CV,1,"12""t",,,0,false,0,false,0,false,0,false,0,1,1,0,"EE,IT1,SRCH,TUR(0*/-/-)",https://i.ibb.co/sW2BqkV/armored-personnel-carrier-tracked-3039.png
121,Armored Personnel Carrier,(Wheeled LRM),8,CV,1,"12""w",,,0,false,0,false,0,false,0,false,0,1,1,0,"EE,IF0*,SRCH",https://i.ibb.co/1Myq3N3/armored-personnel-carrier-wheeled-3039.png
122,Armored Personnel Carrier,(Wheeled MG),8,CV,1,"12""w",,,1,false,0,false,0,false,0,false,0,2,1,0,"EE,SRCH,TUR(1/-/-)",https://i.ibb.co/1Myq3N3/armored-personnel-carrier-wheeled-3039.png
123,Armored Personnel Carrier,(Wheeled Primitive),4,SV,2,"8""w",,,0,false,0,false,0,false,0,false,0,1,1,0,"BFC,EE,IT1,TUR(0*/-/-)",https://i.ibb.co/1Myq3N3/armored-personnel-carrier-wheeled-3039.png
124,Armored Personnel Carrier,(Wheeled SRM),9,CV,1,"12""w",,,0,false,0,false,0,false,0,false,0,2,1,0,"EE,IT1,SRCH,TUR(0*/0*/-)",https://i.ibb.co/1Myq3N3/armored-personnel-carrier-wheeled-3039.png
125,Armored Personnel Carrier,(Wheeled),8,CV,1,"12""w",,,0,false,0,false,0,false,0,false,0,2,1,0,"EE,IT1,SRCH,TUR(0*/-/-)",https://i.ibb.co/1Myq3N3/armored-personnel-carrier-wheeled-3039.png
126,Assassin,ASN-101,23,BM,2,"14""/10""j",,,2,false,1,false,0,false,0,false,0,2,3,0,"IF0*,JMPW1",https://i.ibb.co/Vt52ZRM/assassin-rg.png
127,Assassin,ASN-21,22,BM,2,"14""j",,,1,false,1,false,0,false,0,false,0,2,3,0,IF0*,https://i.ibb.co/Vt52ZRM/assassin-rg.png
128,Assassin,ASN-23,26,BM,2,"14""j",,,1,false,2,false,0,false,0,false,0,2,3,0,IF0*,https://i.ibb.co/Vt52ZRM/assassin-rg.png
129,Assassin,ASN-30,23,BM,2,"14""j",,,1,false,1,false,0,false,0,false,0,3,2,0,FLK0*/0*/0*,https://i.ibb.co/Vt52ZRM/assassin-rg.png
130,Assassin,ASN-99,32,BM,2,"14""j",,,1,false,1,false,1,false,0,false,0,4,2,0,"ECM,MEL,STL,TAG",https://i.ibb.co/Vt52ZRM/assassin-rg.png
132,Assault Commando, ,6,CI,1,"2""f",,,0,false,0,false,0,false,0,false,0,1,1,0,"AM,CAR1",https://i.ibb.co/J7VkTq7/assault-commando-maf.png
133,Asshur Artillery Spotter, ,25,CV,1,"18""h",,,3,false,3,false,0,false,0,false,0,2,1,0,"CASE,SRCH,TAG,TUR(3/3/-)",https://i.ibb.co/bBYGnyS/asshur-3060.png
134,Asshur Fast Reconnaissance Vehicle,(Proto AC),15,CV,1,"18""h",,,1,false,1,false,0,false,0,false,0,2,1,0,"CASE,FC,SRCH,TUR(1/1/-)",https://i.ibb.co/bBYGnyS/asshur-3060.png
135,Asshur Fast Reconnaissance Vehicle, ,25,CV,1,"18""h",,,3,false,3,false,0,false,0,false,0,2,1,0,"CASE,SRCH,TUR(3/3/-)",https://i.ibb.co/bBYGnyS/asshur-3060.png
136,Athena Combat Vehicle,(HAG),48,CV,3,"6""t",,,7,false,7,false,4,false,0,false,0,8,4,0,"CASE,ECM,FLK4/4/4,SRCH,TUR(3/3/-)",https://i.ibb.co/XsH3d4f/athena-3060.png
137,Athena Combat Vehicle, ,38,CV,3,"6""t",,,6,false,6,false,4,false,0,false,0,5,4,0,"CASE,IF1,SRCH,TUR(2/2/-)",https://i.ibb.co/XsH3d4f/athena-3060.png
138,Atlas,AS7-C,51,BM,4,"6""",,,3,false,4,false,4,false,0,false,1,10,4,0,"AMS,C3S,CASE,IF1,MHQ1,OVL,REAR1/1/-",https://i.ibb.co/VtHKQ7Q/atlas-rg.png
